,specialty,level,applications,posts,ratio,year
0,Anaesthetics,1,1479,569,2.6,2020
1,Emergency Medicine,1,863,348,2.48,2020
2,Broad Based Training,1,109,13,8.38,2020
3,Cardiothoracic surgery,1,129,13,9.92,2020
4,Clinical Radiology,1,1308,311,4.21,2020
5,Community Sexual & Reproductive Health,1,108,6,18.0,2020
6,Core Psychiatry Training,1,895,410,2.18,2020
7,Core Surgical Training,1,2322,605,3.84,2020
8,General Practice,1,5770,3836,1.5,2020
9,Histopathology,1,261,97,2.69,2020
10,Internal Medicine Training,1,2798,1610,1.74,2020
11,Neurosurgery,1,220,26,8.46,2020
12,Obstetrics & Gynaecology,1,672,256,2.63,2020
13,Ophthalmology,1,430,75,5.73,2020
14,Oral & Maxillofacial Surgery,1,32,10,3.2,2020
15,Paediatrics,1,712,461,1.54,2020
16,Public Health Medicine,1,933,77,12.12,2020
17,Trauma & Orthopaedic Surgery (Scotland Only),1,221,9,24.56,2020
18,Cardiothoracic surgery,3,41,7,5.86,2020
19,Neurosurgery,3,22,1,22.0,2020
20,Ophthalmology,3,65,22,2.95,2020
21,Oral & Maxillofacial Surgery,3,16,23,0.7,2020
22,Acute Internal Medicine,3,510,94,5.43,2020
23,Allergy,3,11,3,3.67,2020
24,Anaesthetics,3,758,353,2.15,2020
25,Audiovestibular Medicine,3,9,6,1.5,2020
26,Cardiology,3,533,131,4.07,2020
27,Clinical Genetics,3,40,13,3.08,2020
28,Clinical Neurophysiology,3,31,10,3.1,2020
29,Clinical Oncology,3,170,49,3.47,2020
30,Clinical Pharmacology & Therapeutics,3,12,14,0.86,2020
31,Combined Infection Training,3,206,54,3.81,2020
32,Dermatology,3,166,42,3.95,2020
33,Diagnostic Neuropathology,3,8,4,2.0,2020
34,Emergency Medicine,3,141,47,3.0,2020
35,Endocrinology & Diabetes Mellitus,3,325,74,4.39,2020
36,Gastroenterology,3,373,79,4.72,2020
37,General & Vascular Surgery,3,574,123,4.67,2020
38,Genitourinary Medicine,3,31,53,0.58,2020
39,Geriatric Medicine,3,392,202,1.94,2020
40,Haematology,3,195,73,2.67,2020
41,Immunology,3,20,12,1.67,2020
42,Intensive Care Medicine,3,430,289,1.49,2020
43,Medical Oncology,3,185,39,4.74,2020
44,Medical Ophthalmology,3,7,3,2.33,2020
45,Metabolic Medicine,3,23,12,1.92,2020
46,Neurology,3,207,50,4.14,2020
47,Occupational Medicine,3,35,12,2.92,2020
48,Otolaryngology,3,131,23,5.7,2020
49,Paediatric & Perinatal Pathology,3,7,9,0.78,2020
50,Paediatric Surgery,3,50,6,8.33,2020
51,Paediatrics,3,203,45,4.51,2020
52,Palliative Medicine,3,137,49,2.8,2020
53,Plastic Surgery,3,190,41,4.63,2020
54,Rehabilitation Medicine,3,36,27,1.33,2020
55,Renal Medicine,3,227,67,3.39,2020
56,Respiratory Medicine,3,407,74,5.5,2020
57,Rheumatology,3,199,33,6.03,2020
58,Sport & Exercise Medicine,3,32,11,2.91,2020
59,Trauma & Orthopaedic Surgery,3,715,125,5.72,2020
60,Urology,3,146,64,2.28,2020
61,Child & Adolescent Psychiatry,4,72,56,1.29,2020
62,Emergency Medicine,4,103,57,1.81,2020
63,Forensic Psychiatry,4,55,34,1.62,2020
64,Forensic & Child & Adolescent Psychiatry,4,4,3,1.33,2020
65,General Psychiatry,4,174,155,1.12,2020
66,General Psychiatry & Forensic Psychiatry,4,6,2,3.0,2020
67,General & Medical Psychotherapy,4,35,9,3.89,2020
68,General Psychiatry & Old Age Psychiatry,4,79,63,1.25,2020
69,Medical Psychotherapy,4,14,4,3.5,2020
70,Old Age Psychiatry,4,57,60,0.95,2020
71,Paediatric Cardiology,4,44,7,6.29,2020
72,Paediatrics,4,173,77,2.25,2020
