,specialty,level,applications,posts,ratio,year
0,"﻿ACCS Emergency Medicine
","ST1
","881
","363
","2.43
",2015
1,"Anaesthetics (including ACCS Anaesthetics)
","CT1
","1294
","629
","2.06
",2015
2,"Broad Based Training
","CT1
","363
","83
","4.37
",2015
3,"Cardiothoracic Surgery
","ST1
","68
","8
","8.5
",2015
4,"Clinical Radiology
","ST1
","917
","247
","3.71
",2015
5,"Community Sexual and Reproductive Health
","ST1
","100
","2
","50
",2015
6,"Core Medical Training (including ACCS Acute Medicine)
","CT1
","2632
","1550
","1.7
",2015
7,"Core Psychiatry Training
","CT1
","662
","466
","1.42
",2015
8,"Core Surgical Training
","CT1
","1396
","604
","2.31
",2015
9,"General Practice
","ST1
","5112
","3612
","1.42
",2015
10,"Histopathology
","ST1
","189
","79
","2.39
",2015
11,"Neurosurgery
","ST1
","169
","30
","5.63
",2015
12,"Obstetrics and Gynaecology
","ST1
","599
","238
","2.52
",2015
13,"Ophthalmology
","ST1
","374
","95
","3.94
",2015
14,"Oral and Maxillo Facial Surgery
","ST1
","27
","5
","5.4
",2015
15,"Paediatrics
","ST1
","801
","446
","1.8
",2015
16,"Public Health
","ST1
","724
","88
","8.23
",2015
